                   ¹               t_otn                   U                   V                   R                 Phi               Psi_U               Psi_V               Psi_R             Psi_Phi                   H                Teta           Teta_grad               t_abs
                  56               0.056         1799.957955          30045.7716     1.512867807e+11        0.3899689848         671.7343904         789.1899569     0.0002177740855                   0     2.330025062e-10       -0.3044912445        -17.44606324         1952367.944
                  57               0.057         1835.256288         30042.46925      1.51350149e+11        0.3968911483         669.5839387         780.2336896     0.0002171962237                   0     2.329390014e-10       -0.3029182535        -17.35593749         1987231.658
                  58               0.058         1870.608677         30038.88393      1.51414749e+11        0.4038095929         667.3888594         771.3149062     0.0002166196186                   0     2.328652826e-10       -0.3013441968        -17.26575068         2022095.371
                  59               0.059         1906.012035         30035.01551     1.514805823e+11        0.4107242004         665.1493446         762.4342234     0.0002160443422                   0     2.327813498e-10       -0.2997691513        -17.17550722         2056959.084
                  60                0.06          1941.46327          30030.8639     1.515476509e+11        0.4176348525         662.8655908          753.592253      0.000215470466                   0     2.326869808e-10       -0.2981931959        -17.08521163         2091822.797
                  61               0.061         1976.959289         30026.42905     1.516159561e+11        0.4245414314         660.5377991         744.7896013     0.0002148980608                   0      2.32583286e-10       -0.2966164113        -16.99486853         2126686.511
                  62               0.062         2012.496996         30021.71092     1.516854996e+11        0.4314438192         658.1661753         736.0268699     0.0002143271971                   0      2.32469155e-10       -0.2950388804        -16.90448266         2161550.224
                  63               0.063         2048.073294         30016.70956     1.517562828e+11        0.4383418982         655.7509292         727.3046547     0.0002137579449                   0     2.323465864e-10       -0.2934606879         -16.8140589         2196413.937
                  64               0.064         2083.685084         30011.42501     1.518283069e+11        0.4452355511         653.2922754         718.6235464     0.0002131903735                   0     2.322126935e-10       -0.2918819209        -16.72360221         2231277.651
                  65               0.065         2119.329269         30005.85739     1.519015732e+11        0.4521246608         650.7904325           709.98413     0.0002126245516                   0     2.320703629e-10       -0.2903026685        -16.63311771         2266141.364
                  66               0.066          2155.00275         30000.00682     1.519760826e+11        0.4590091103         648.2456237         701.3869853     0.0002120605475                   0     2.319184844e-10        -0.288723022        -16.54261063         2301005.077
                  67               0.067          2190.70243         29993.87349     1.520518363e+11         0.465888783         645.6580761         692.8326861     0.0002114984288                   0     2.317555037e-10       -0.2871430751        -16.45208635          2335868.79
                  68               0.068         2226.425216         29987.45762     1.521288349e+11        0.4727635626         643.0280213         684.3218006     0.0002109382625                   0     2.315838632e-10       -0.2855629239        -16.36155035         2370732.504
                  69               0.069         2262.168014         29980.75947     1.522070794e+11         0.479633333         640.3556947         675.8548912     0.0002103801148                   0      2.31403563e-10       -0.2839826666        -16.27100827         2405596.217
                  70                0.07         2297.927735         29973.77932     1.522865703e+11        0.4864979786          637.641336         667.4325144     0.0002098240514                   0     2.312128267e-10       -0.2824024041         -16.1804659          2440459.93
                  71               0.071         2333.701293         29966.51752     1.523673081e+11        0.4933573839         634.8851889         659.0552207     0.0002092701375                   0     2.310132086e-10       -0.2808222398        -16.08992916         2475323.644
                  72               0.072         2369.485606         29958.97444     1.524492934e+11        0.5002114342         632.0875008         650.7235546     0.0002087184373                   0     2.308040425e-10       -0.2792422796        -15.99940411         2510187.357
                  73               0.073         2405.277599          29951.1505     1.525325264e+11        0.5070600147         629.2485233         642.4380544     0.0002081690144                   0     2.305864388e-10       -0.2776626323        -15.90889698          2545051.07
                  74               0.074           2441.0742         29943.04613     1.526170073e+11        0.5139030113         626.3685115         634.1992525     0.0002076219318                   0     2.303606195e-10       -0.2760834092        -15.81841416         2579914.783
                  75               0.075         2476.872345         29934.66184     1.527027362e+11        0.5207403103         623.4477245         626.0076746     0.0002070772517                   0     2.301248081e-10       -0.2745047244        -15.72796219         2614778.497
                  76               0.076         2512.668975         29925.99816     1.527897132e+11        0.5275717984          620.486425         617.8638404     0.0002065350355                   0     2.298801149e-10       -0.2729266953        -15.63754778          2649642.21
